model,train_variant,method,n_examples,comprehensiveness_mean,sufficiency_mean,deletion_auc_mean,num_samples
tiny-random-electraforsequenceclassification_smoke,clean,lime,20,-0.0,-0.0001,0.4564,50
tfidf_lr,aug_dia,lime,200,0.341,-0.0949,0.571,500
tfidf_lr,aug_dia,shap,200,0.3267,-0.0941,0.5806,500
tfidf_lr,aug_dia,random,200,0.0534,0.2087,0.766,500
